Address Space - ETROC2:
PeriStat0 - 0b10101010 to 0b00101010
SEU Counter 0 - 0b01110100 to 0b10101110
PixCfg4 Pixel 11,7 - 0b11111111 to 0b11111110
PixStat2 Pixel 0,0 - 0b01110110 to 0b11110110
PixStat1 Pixel 1,0 - 0b10000010 to 0b00000010
PixStat1 Pixel 3,0 - 0b11000110 to 0b11001110
PixStat5 Pixel 4,0 - 0b00000000 to 0b10000000
PixStat1 Pixel 6,0 - 0b11000110 to 0b10000110
PixStat6 Pixel 6,0 - 0b00000001 to 0b00000000
PixStat1 Pixel 7,0 - 0b11000110 to 0b10000110
PixStat2 Pixel 8,0 - 0b10000100 to 0b10000101
PixStat2 Pixel 9,0 - 0b10011110 to 0b10001110
PixStat6 Pixel 10,0 - 0b00000000 to 0b01000000
PixStat1 Pixel 11,0 - 0b11001000 to 0b01001000
PixStat6 Pixel 11,0 - 0b00000000 to 0b00001000
PixStat2 Pixel 12,0 - 0b10001110 to 0b00001110
PixStat1 Pixel 13,0 - 0b10000110 to 0b11000110
PixStat2 Pixel 13,0 - 0b10010000 to 0b00010000
PixStat6 Pixel 13,0 - 0b00000000 to 0b01000000
PixStat1 Pixel 14,0 - 0b11000110 to 0b11000100
PixStat3 Pixel 14,0 - 0b11000001 to 0b11000000
PixStat2 Pixel 15,0 - 0b10001111 to 0b10001101
PixStat2 Pixel 0,1 - 0b10000001 to 0b10000000
PixStat2 Pixel 1,1 - 0b01111010 to 0b01111110
PixStat1 Pixel 2,1 - 0b11000110 to 0b11000111
PixStat2 Pixel 2,1 - 0b10000010 to 0b10000011
PixStat1 Pixel 3,1 - 0b11000110 to 0b11000000
PixStat6 Pixel 3,1 - 0b00000000 to 0b00000010
PixStat1 Pixel 4,1 - 0b11001000 to 0b10001000
PixStat2 Pixel 8,1 - 0b10000001 to 0b10000101
PixStat5 Pixel 9,1 - 0b00000000 to 0b10000000
PixStat6 Pixel 9,1 - 0b00000000 to 0b00100000
PixStat1 Pixel 12,1 - 0b10000110 to 0b11000110
PixStat5 Pixel 13,1 - 0b01000000 to 0b01001000
PixStat2 Pixel 2,2 - 0b01111101 to 0b01011101
PixStat3 Pixel 3,2 - 0b11000001 to 0b11000000
PixStat6 Pixel 4,2 - 0b00000000 to 0b00000100
PixStat3 Pixel 5,2 - 0b11000000 to 0b11000010
PixStat6 Pixel 5,2 - 0b00000000 to 0b00010000
PixStat1 Pixel 6,2 - 0b11001000 to 0b00001000
PixStat5 Pixel 9,2 - 0b00000000 to 0b00000001
PixStat2 Pixel 10,2 - 0b10010001 to 0b00010001
PixStat3 Pixel 10,2 - 0b11000001 to 0b11000000
PixStat5 Pixel 11,2 - 0b00000000 to 0b00001000
PixStat3 Pixel 12,2 - 0b11000001 to 0b11000011
PixStat2 Pixel 13,2 - 0b10010000 to 0b10010010
PixStat5 Pixel 13,2 - 0b00000001 to 0b10000001
PixStat1 Pixel 0,3 - 0b11000110 to 0b10000110
PixStat6 Pixel 0,3 - 0b00000000 to 0b10000000
PixStat2 Pixel 2,3 - 0b01110101 to 0b01110111
PixStat1 Pixel 3,3 - 0b11000110 to 0b11001110
PixStat2 Pixel 6,3 - 0b10001011 to 0b00001011
PixStat1 Pixel 9,3 - 0b11000110 to 0b11000010
PixStat3 Pixel 10,3 - 0b11000001 to 0b11000000
PixStat3 Pixel 12,3 - 0b11000001 to 0b11000000
PixStat1 Pixel 13,3 - 0b11000110 to 0b11000010
PixStat6 Pixel 13,3 - 0b00000000 to 0b00010000
PixStat1 Pixel 14,3 - 0b11000110 to 0b11000100
PixStat5 Pixel 14,3 - 0b00000000 to 0b10010000
PixStat1 Pixel 15,3 - 0b11001000 to 0b11101000
PixStat3 Pixel 2,4 - 0b11000001 to 0b11000000
PixStat1 Pixel 3,4 - 0b11000110 to 0b10000110
PixStat1 Pixel 4,4 - 0b11000110 to 0b11001110
PixStat6 Pixel 5,4 - 0b00000000 to 0b01000000
PixStat1 Pixel 6,4 - 0b11001000 to 0b10001000
PixStat3 Pixel 6,4 - 0b11000001 to 0b11000000
PixStat1 Pixel 7,4 - 0b10000110 to 0b10000010
PixStat3 Pixel 7,4 - 0b11000001 to 0b11000000
PixStat6 Pixel 7,4 - 0b00000001 to 0b00000000
PixStat1 Pixel 8,4 - 0b11000110 to 0b10000110
PixStat5 Pixel 8,4 - 0b00000000 to 0b10000000
PixStat6 Pixel 8,4 - 0b00000000 to 0b00000001
PixStat5 Pixel 10,4 - 0b00000000 to 0b00001000
PixStat1 Pixel 11,4 - 0b11000110 to 0b01000110
PixStat1 Pixel 13,4 - 0b11000110 to 0b01000110
PixStat2 Pixel 13,4 - 0b10010000 to 0b10000000
PixStat6 Pixel 14,4 - 0b00000000 to 0b00010100
PixStat1 Pixel 15,4 - 0b01000110 to 0b11000110
PixStat1 Pixel 0,5 - 0b11000110 to 0b01000110
PixStat1 Pixel 2,5 - 0b11000110 to 0b11000010
PixStat1 Pixel 3,5 - 0b11001000 to 0b11000000
PixStat6 Pixel 3,5 - 0b00000000 to 0b00001000
PixStat2 Pixel 5,5 - 0b00000110 to 0b00010110
PixStat1 Pixel 6,5 - 0b01000110 to 0b00000110
PixStat2 Pixel 6,5 - 0b10001001 to 0b10000001
PixStat6 Pixel 6,5 - 0b00000000 to 0b10000000
PixStat1 Pixel 7,5 - 0b11000110 to 0b00000010
PixStat2 Pixel 7,5 - 0b00000001 to 0b00001001
PixStat1 Pixel 9,5 - 0b11000110 to 0b01000110
PixStat5 Pixel 9,5 - 0b00000000 to 0b00000100
PixStat2 Pixel 10,5 - 0b10000010 to 0b10000000
PixStat1 Pixel 11,5 - 0b00000100 to 0b01000100
PixStat2 Pixel 11,5 - 0b00111101 to 0b00110101
PixStat1 Pixel 12,5 - 0b11001000 to 0b11000000
PixStat5 Pixel 13,5 - 0b00000000 to 0b00010000
PixStat1 Pixel 15,5 - 0b11000110 to 0b10000110
PixStat2 Pixel 15,5 - 0b10001110 to 0b10000110
PixStat3 Pixel 0,6 - 0b11000001 to 0b11000000
PixStat2 Pixel 1,6 - 0b10000001 to 0b00000001
PixStat3 Pixel 1,6 - 0b11000001 to 0b11000000
PixStat6 Pixel 1,6 - 0b00000000 to 0b01000000
PixStat5 Pixel 2,6 - 0b00000000 to 0b10000000
PixStat3 Pixel 3,6 - 0b11000001 to 0b11000000
PixStat6 Pixel 4,6 - 0b00000000 to 0b01000100
PixStat1 Pixel 5,6 - 0b11001000 to 0b10001000
PixStat2 Pixel 5,6 - 0b10000000 to 0b00100000
PixStat6 Pixel 7,6 - 0b00000000 to 0b00000001
PixStat5 Pixel 8,6 - 0b00000000 to 0b00000100
PixStat6 Pixel 8,6 - 0b00010000 to 0b00000000
PixStat1 Pixel 9,6 - 0b11001000 to 0b00001000
PixStat2 Pixel 10,6 - 0b10000111 to 0b10000101
PixStat1 Pixel 11,6 - 0b11000010 to 0b11000110
PixStat2 Pixel 11,6 - 0b00001111 to 0b10001111
PixStat2 Pixel 12,6 - 0b10101011 to 0b10100011
PixStat1 Pixel 14,6 - 0b11000110 to 0b11100110
PixStat2 Pixel 14,6 - 0b10000010 to 0b10100010
PixStat3 Pixel 14,6 - 0b11000001 to 0b11000011
PixStat6 Pixel 0,7 - 0b00100000 to 0b00000000
PixStat6 Pixel 1,7 - 0b00000000 to 0b00100000
PixStat1 Pixel 4,7 - 0b11000110 to 0b10000110
PixStat6 Pixel 4,7 - 0b00000000 to 0b10000000
PixStat5 Pixel 6,7 - 0b00000000 to 0b01000000
PixStat1 Pixel 7,7 - 0b01001000 to 0b01000000
PixStat2 Pixel 7,7 - 0b10000001 to 0b10000000
PixStat3 Pixel 7,7 - 0b11000001 to 0b11000000
PixStat2 Pixel 8,7 - 0b00000101 to 0b00100001
PixStat1 Pixel 9,7 - 0b11001100 to 0b11000100
PixStat5 Pixel 9,7 - 0b10000000 to 0b10000001
PixStat1 Pixel 10,7 - 0b11000110 to 0b00001100
PixStat2 Pixel 10,7 - 0b10000111 to 0b10000110
PixStat3 Pixel 10,7 - 0b11000001 to 0b11000000
PixStat1 Pixel 11,7 - 0b11000100 to 0b11100100
PixStat3 Pixel 11,7 - 0b11000001 to 0b10000001
PixStat1 Pixel 13,7 - 0b11000110 to 0b11000111
PixStat2 Pixel 13,7 - 0b10001111 to 0b10011110
PixStat6 Pixel 13,7 - 0b00000000 to 0b10000000
PixStat3 Pixel 1,8 - 0b11000001 to 0b11000000
PixStat1 Pixel 5,8 - 0b11001000 to 0b01001000
PixStat3 Pixel 7,8 - 0b11000001 to 0b11000000
PixStat6 Pixel 7,8 - 0b00000000 to 0b00001000
PixStat1 Pixel 9,8 - 0b11001000 to 0b00000000
PixStat2 Pixel 11,8 - 0b10001111 to 0b10000111
PixStat1 Pixel 14,8 - 0b11000110 to 0b11000111
PixStat2 Pixel 14,8 - 0b10001101 to 0b10001111
PixStat6 Pixel 1,9 - 0b00000000 to 0b00000010
PixStat2 Pixel 2,9 - 0b01111100 to 0b01111000
PixStat6 Pixel 2,9 - 0b00000000 to 0b00000010
PixStat1 Pixel 4,9 - 0b11001000 to 0b11000000
PixStat6 Pixel 4,9 - 0b00000000 to 0b00100000
PixStat1 Pixel 5,9 - 0b11000100 to 0b10000100
PixStat1 Pixel 6,9 - 0b11101000 to 0b11111000
PixStat2 Pixel 6,9 - 0b01111101 to 0b01011101
PixStat6 Pixel 7,9 - 0b00000000 to 0b00000010
PixStat2 Pixel 8,9 - 0b10000010 to 0b10000000
PixStat2 Pixel 9,9 - 0b10000100 to 0b00000100
PixStat1 Pixel 11,9 - 0b11100100 to 0b11100010
PixStat2 Pixel 11,9 - 0b10001100 to 0b10001000
PixStat3 Pixel 12,9 - 0b11000001 to 0b11000000
PixStat1 Pixel 13,9 - 0b11001000 to 0b11000000
PixStat3 Pixel 14,9 - 0b11000001 to 0b11000000
PixStat1 Pixel 2,10 - 0b10001000 to 0b00001000
PixStat2 Pixel 7,10 - 0b01111111 to 0b01111110
PixStat6 Pixel 7,10 - 0b00000000 to 0b00000010
PixStat1 Pixel 8,10 - 0b11000110 to 0b10000110
PixStat5 Pixel 8,10 - 0b10000000 to 0b00000000
PixStat2 Pixel 13,10 - 0b10001011 to 0b10000011
PixStat1 Pixel 14,10 - 0b10001000 to 0b00001000
PixStat5 Pixel 14,10 - 0b00000000 to 0b01000000
PixStat3 Pixel 0,11 - 0b11000001 to 0b11000000
PixStat5 Pixel 4,11 - 0b00000000 to 0b10000000
PixStat1 Pixel 5,11 - 0b11001000 to 0b11000000
PixStat2 Pixel 5,11 - 0b10000111 to 0b00000111
PixStat1 Pixel 6,11 - 0b11000110 to 0b10000110
PixStat2 Pixel 6,11 - 0b00000011 to 0b00000001
PixStat1 Pixel 7,11 - 0b11000110 to 0b01000010
PixStat1 Pixel 8,11 - 0b11000110 to 0b11001110
PixStat2 Pixel 8,11 - 0b10000110 to 0b11000110
PixStat2 Pixel 10,11 - 0b11111111 to 0b01110111
PixStat1 Pixel 14,11 - 0b10001000 to 0b00001000
PixStat3 Pixel 2,12 - 0b11000001 to 0b11000000
PixStat5 Pixel 6,12 - 0b00000000 to 0b00000100
PixStat2 Pixel 9,12 - 0b01111010 to 0b00101010
PixStat2 Pixel 10,12 - 0b10001000 to 0b10000000
PixStat2 Pixel 12,12 - 0b01110010 to 0b01010010
PixStat1 Pixel 5,13 - 0b11000110 to 0b00000110
PixStat2 Pixel 7,13 - 0b10000010 to 0b10000000
PixStat2 Pixel 8,13 - 0b01001111 to 0b01011111
PixStat1 Pixel 11,13 - 0b11001000 to 0b01001000
PixStat2 Pixel 12,13 - 0b10000101 to 0b10000111
PixStat5 Pixel 13,13 - 0b00000000 to 0b00001000
PixStat1 Pixel 15,13 - 0b11000111 to 0b11000101
PixStat1 Pixel 3,14 - 0b11000110 to 0b10000110
PixStat1 Pixel 9,14 - 0b11000110 to 0b10000110
PixStat6 Pixel 12,14 - 0b00000000 to 0b01000000
PixStat1 Pixel 14,14 - 0b10001000 to 0b11001000
