Address Space - ETROC2:
SEU Counter 0 - 0b01100001 to 0b10011111
PixCfg15 Pixel 7,0 - 0b11111111 to 0b11111101
PixStat6 Pixel 1,0 - 0b00000000 to 0b00000100
PixStat1 Pixel 2,0 - 0b11001010 to 0b11001000
PixStat6 Pixel 2,0 - 0b00000000 to 0b10000000
PixStat1 Pixel 3,0 - 0b11000110 to 0b00000110
PixStat2 Pixel 3,0 - 0b11000110 to 0b11000100
PixStat1 Pixel 4,0 - 0b11001000 to 0b01001100
PixStat3 Pixel 5,0 - 0b11000001 to 0b11000000
PixStat1 Pixel 6,0 - 0b11000110 to 0b00000110
PixStat2 Pixel 6,0 - 0b10110101 to 0b00110101
PixStat2 Pixel 8,0 - 0b10001101 to 0b10001000
PixStat3 Pixel 8,0 - 0b11000001 to 0b11000011
PixStat6 Pixel 8,0 - 0b00000000 to 0b00010000
PixStat1 Pixel 9,0 - 0b11000110 to 0b10000110
PixStat5 Pixel 11,0 - 0b00000000 to 0b00001000
PixStat1 Pixel 12,0 - 0b11000000 to 0b01000000
PixStat2 Pixel 12,0 - 0b10111001 to 0b00111001
PixStat1 Pixel 13,0 - 0b11000110 to 0b11000010
PixStat6 Pixel 0,1 - 0b00000000 to 0b00000010
PixStat1 Pixel 9,1 - 0b11000110 to 0b00000110
PixStat2 Pixel 10,1 - 0b00000011 to 0b10000011
PixStat6 Pixel 10,1 - 0b00000000 to 0b00100000
PixStat1 Pixel 13,1 - 0b11000110 to 0b10000110
PixStat6 Pixel 13,1 - 0b00000000 to 0b00010001
PixStat6 Pixel 14,1 - 0b00000000 to 0b01000000
PixStat2 Pixel 15,1 - 0b10011000 to 0b00011000
PixStat1 Pixel 1,2 - 0b11001000 to 0b01001000
PixStat2 Pixel 1,2 - 0b10111000 to 0b10011000
PixStat2 Pixel 3,2 - 0b10111101 to 0b10011101
PixStat1 Pixel 4,2 - 0b11000100 to 0b11000000
PixStat6 Pixel 5,2 - 0b00000000 to 0b00001001
PixStat2 Pixel 8,2 - 0b11000010 to 0b00000010
PixStat3 Pixel 9,2 - 0b11000001 to 0b11000000
PixStat3 Pixel 10,2 - 0b11000011 to 0b11000001
PixStat2 Pixel 11,2 - 0b00111000 to 0b00011000
PixStat2 Pixel 12,2 - 0b10110001 to 0b00110001
PixStat5 Pixel 12,2 - 0b00000000 to 0b00100100
PixStat6 Pixel 12,2 - 0b00000000 to 0b00000001
PixStat1 Pixel 13,2 - 0b11000110 to 0b11000100
PixStat6 Pixel 13,2 - 0b10000000 to 0b00000000
PixStat1 Pixel 14,2 - 0b11000110 to 0b11100110
PixStat1 Pixel 15,2 - 0b11001000 to 0b10001001
PixStat1 Pixel 0,3 - 0b11000110 to 0b11000100
PixStat1 Pixel 4,3 - 0b10000000 to 0b10000001
PixStat2 Pixel 4,3 - 0b10111111 to 0b10110110
PixStat5 Pixel 4,3 - 0b00000000 to 0b00000010
PixStat1 Pixel 6,3 - 0b11000110 to 0b10000110
PixStat6 Pixel 6,3 - 0b00000000 to 0b01000000
PixStat2 Pixel 8,3 - 0b10111101 to 0b10110100
PixStat5 Pixel 9,3 - 0b00000000 to 0b01000000
PixStat2 Pixel 10,3 - 0b10101101 to 0b10101100
PixStat5 Pixel 10,3 - 0b00000000 to 0b00010000
PixStat6 Pixel 10,3 - 0b00010000 to 0b00000000
PixStat1 Pixel 11,3 - 0b11000110 to 0b11100110
PixStat2 Pixel 11,3 - 0b10111000 to 0b10010000
PixStat1 Pixel 12,3 - 0b11000110 to 0b01000100
PixStat2 Pixel 12,3 - 0b10111000 to 0b10011000
PixStat3 Pixel 13,3 - 0b11000001 to 0b11000000
PixStat1 Pixel 14,3 - 0b11000110 to 0b11000100
PixStat1 Pixel 15,3 - 0b11001000 to 0b00001000
PixStat1 Pixel 0,4 - 0b11000100 to 0b11000101
PixStat2 Pixel 1,4 - 0b10111101 to 0b10101101
PixStat1 Pixel 2,4 - 0b11000110 to 0b01000110
PixStat5 Pixel 3,4 - 0b00000000 to 0b00000001
PixStat6 Pixel 4,4 - 0b00000000 to 0b00000001
PixStat2 Pixel 5,4 - 0b10110001 to 0b11110001
PixStat2 Pixel 7,4 - 0b10110101 to 0b10110100
PixStat2 Pixel 8,4 - 0b10000100 to 0b10000000
PixStat2 Pixel 11,4 - 0b10110110 to 0b10010110
PixStat6 Pixel 11,4 - 0b00000000 to 0b10000000
PixStat3 Pixel 12,4 - 0b11000001 to 0b11000000
PixStat5 Pixel 13,4 - 0b00000000 to 0b00000001
PixStat1 Pixel 1,5 - 0b11000110 to 0b11000010
PixStat1 Pixel 3,5 - 0b11000110 to 0b00000110
PixStat5 Pixel 3,5 - 0b00000000 to 0b01000000
PixStat1 Pixel 4,5 - 0b11000100 to 0b11000110
PixStat2 Pixel 4,5 - 0b10110101 to 0b10110001
PixStat5 Pixel 4,5 - 0b00000000 to 0b00100001
PixStat1 Pixel 5,5 - 0b11000110 to 0b11000111
PixStat3 Pixel 5,5 - 0b11000001 to 0b11000011
PixStat2 Pixel 7,5 - 0b10111101 to 0b10101101
PixStat2 Pixel 8,5 - 0b10111110 to 0b10101110
PixStat1 Pixel 9,5 - 0b11000110 to 0b01000100
PixStat5 Pixel 9,5 - 0b00001000 to 0b00000000
PixStat2 Pixel 11,5 - 0b00110000 to 0b10110000
PixStat5 Pixel 12,5 - 0b00000000 to 0b00100000
PixStat2 Pixel 14,5 - 0b10110101 to 0b10100100
PixStat3 Pixel 14,5 - 0b11000001 to 0b11000000
PixStat2 Pixel 0,6 - 0b10111101 to 0b10101101
PixStat1 Pixel 2,6 - 0b11000100 to 0b10000100
PixStat2 Pixel 4,6 - 0b10011000 to 0b10011010
PixStat2 Pixel 5,6 - 0b10110010 to 0b10111010
PixStat2 Pixel 7,6 - 0b10111110 to 0b10001110
PixStat1 Pixel 9,6 - 0b11001000 to 0b01001000
PixStat1 Pixel 10,6 - 0b11100110 to 0b11100010
PixStat2 Pixel 10,6 - 0b10110011 to 0b00110011
PixStat1 Pixel 11,6 - 0b11000110 to 0b11000111
PixStat2 Pixel 11,6 - 0b10110010 to 0b10010010
PixStat6 Pixel 11,6 - 0b00000000 to 0b00001000
PixStat2 Pixel 12,6 - 0b10100110 to 0b10000110
PixStat5 Pixel 12,6 - 0b00000000 to 0b00000001
PixStat5 Pixel 13,6 - 0b00000000 to 0b10000000
PixStat2 Pixel 1,7 - 0b10110110 to 0b10110100
