Address Space - ETROC2:
PeriStat0 - 0b00100100 to 0b10100100
SEU Counter 0 - 0b10011111 to 0b11000001
PixStat2 Pixel 0,0 - 0b11001110 to 0b10001110
PixStat2 Pixel 3,0 - 0b11000100 to 0b01000000
PixStat6 Pixel 3,0 - 0b00000000 to 0b00001000
PixStat6 Pixel 6,0 - 0b00000000 to 0b00010000
PixStat5 Pixel 8,0 - 0b00000000 to 0b10000000
PixStat1 Pixel 9,0 - 0b10000110 to 0b00000110
PixStat1 Pixel 10,0 - 0b11000110 to 0b01000110
PixStat2 Pixel 11,0 - 0b00111011 to 0b10111011
PixStat5 Pixel 11,0 - 0b00001000 to 0b00001001
PixStat2 Pixel 12,0 - 0b00111001 to 0b00111101
PixStat1 Pixel 14,0 - 0b01001000 to 0b00001000
PixStat3 Pixel 14,0 - 0b11000001 to 0b11000000
PixStat2 Pixel 4,1 - 0b10100110 to 0b10100010
PixStat2 Pixel 6,1 - 0b10111011 to 0b10101011
PixStat2 Pixel 7,1 - 0b10111011 to 0b00111001
PixStat2 Pixel 11,1 - 0b10100111 to 0b10100101
PixStat3 Pixel 11,1 - 0b11000001 to 0b11000000
PixStat1 Pixel 12,1 - 0b11000110 to 0b10010110
PixStat6 Pixel 12,1 - 0b00000000 to 0b00001000
PixStat2 Pixel 13,1 - 0b10111011 to 0b10101011
PixStat2 Pixel 1,2 - 0b10011000 to 0b10111000
PixStat2 Pixel 3,2 - 0b10011101 to 0b10011001
PixStat6 Pixel 4,2 - 0b00000000 to 0b00100000
PixStat2 Pixel 5,2 - 0b10111100 to 0b10101100
PixStat1 Pixel 6,2 - 0b11101110 to 0b11100110
PixStat2 Pixel 6,2 - 0b11000000 to 0b10000000
PixStat6 Pixel 8,2 - 0b00000000 to 0b00100000
PixStat2 Pixel 10,2 - 0b10010010 to 0b00010010
PixStat3 Pixel 10,2 - 0b11000001 to 0b11000000
PixStat3 Pixel 11,2 - 0b11000001 to 0b11000000
PixStat1 Pixel 13,2 - 0b11000100 to 0b01000100
PixStat1 Pixel 14,2 - 0b11100110 to 0b01100110
PixStat1 Pixel 1,3 - 0b11001000 to 0b00001000
PixStat6 Pixel 1,3 - 0b00000000 to 0b00001000
PixStat2 Pixel 3,3 - 0b10111100 to 0b11111100
PixStat1 Pixel 4,3 - 0b10000001 to 0b11000001
PixStat6 Pixel 4,3 - 0b00000000 to 0b00010000
PixStat1 Pixel 7,3 - 0b10001000 to 0b00001000
PixStat6 Pixel 8,3 - 0b00000000 to 0b00000010
PixStat1 Pixel 9,3 - 0b11000100 to 0b01000100
PixStat2 Pixel 9,3 - 0b10110110 to 0b00110110
PixStat1 Pixel 10,3 - 0b11000110 to 0b00000100
PixStat2 Pixel 10,3 - 0b10101100 to 0b10101001
PixStat3 Pixel 11,3 - 0b11000001 to 0b11000011
PixStat1 Pixel 14,3 - 0b11000100 to 0b11000000
PixStat2 Pixel 14,3 - 0b10111101 to 0b00111101
PixStat6 Pixel 14,3 - 0b00100000 to 0b01100000
PixStat2 Pixel 15,3 - 0b10110110 to 0b10110100
PixStat1 Pixel 5,4 - 0b00001000 to 0b00011000
PixStat3 Pixel 5,4 - 0b11000001 to 0b11000000
PixStat1 Pixel 6,4 - 0b11000110 to 0b01000110
PixStat1 Pixel 7,4 - 0b11001000 to 0b01001000
PixStat2 Pixel 11,4 - 0b10010110 to 0b10011100
PixStat2 Pixel 12,4 - 0b10111100 to 0b00111100
PixStat1 Pixel 1,5 - 0b11000010 to 0b11000110
PixStat5 Pixel 3,5 - 0b01000000 to 0b00000000
PixStat5 Pixel 4,5 - 0b00100001 to 0b00100000
PixStat1 Pixel 6,5 - 0b11000110 to 0b10000110
PixStat1 Pixel 8,5 - 0b11000110 to 0b01000110
PixStat1 Pixel 10,5 - 0b11001000 to 0b00001000
PixStat2 Pixel 10,5 - 0b10111011 to 0b00111010
PixStat2 Pixel 11,5 - 0b10110000 to 0b00110000
PixStat1 Pixel 12,5 - 0b11100110 to 0b10000110
PixStat3 Pixel 12,5 - 0b11000001 to 0b11000000
PixStat1 Pixel 13,5 - 0b11000110 to 0b11010110
PixStat2 Pixel 13,5 - 0b10110000 to 0b10110001
PixStat1 Pixel 14,5 - 0b01000110 to 0b01000111
PixStat3 Pixel 14,5 - 0b11000000 to 0b11000001
PixStat6 Pixel 14,5 - 0b00000000 to 0b00100000
PixStat1 Pixel 3,6 - 0b11000100 to 0b11100100
PixStat2 Pixel 3,6 - 0b11000000 to 0b11001000
PixStat5 Pixel 3,6 - 0b10000000 to 0b00000000
PixStat3 Pixel 4,6 - 0b11000001 to 0b11000000
PixStat5 Pixel 5,6 - 0b00000000 to 0b00100000
PixStat3 Pixel 6,6 - 0b11000001 to 0b11000000
PixStat2 Pixel 9,6 - 0b10101101 to 0b10001101
PixStat1 Pixel 11,6 - 0b11000111 to 0b10000111
PixStat6 Pixel 12,6 - 0b00000000 to 0b01000000
PixStat6 Pixel 0,7 - 0b00000000 to 0b00100000
PixStat1 Pixel 2,7 - 0b10001100 to 0b11001100
PixStat1 Pixel 3,7 - 0b11001000 to 0b10001000
PixStat2 Pixel 3,7 - 0b10101001 to 0b00101001
PixStat1 Pixel 4,7 - 0b10001000 to 0b00001000
PixStat6 Pixel 9,7 - 0b00000000 to 0b00000100
PixStat1 Pixel 11,7 - 0b10001110 to 0b11001110
PixStat3 Pixel 11,7 - 0b11000001 to 0b11000011
PixStat5 Pixel 11,7 - 0b00000000 to 0b01000000
PixStat6 Pixel 11,7 - 0b00000000 to 0b00001000
PixStat1 Pixel 3,8 - 0b11000110 to 0b11000100
PixStat1 Pixel 4,8 - 0b11000110 to 0b10000110
PixStat1 Pixel 7,8 - 0b11000110 to 0b11001110
PixStat1 Pixel 9,8 - 0b00000110 to 0b00001110
PixStat6 Pixel 9,8 - 0b00000000 to 0b00100000
PixStat2 Pixel 11,8 - 0b10100111 to 0b00100011
PixStat1 Pixel 14,8 - 0b11001000 to 0b10001000
PixStat2 Pixel 14,8 - 0b10101110 to 0b00101110
PixStat5 Pixel 15,8 - 0b00000000 to 0b00000010
PixStat2 Pixel 2,9 - 0b10110100 to 0b01110100
PixStat2 Pixel 3,9 - 0b10100111 to 0b10100101
PixStat2 Pixel 6,9 - 0b10101110 to 0b10101100
PixStat2 Pixel 9,9 - 0b10011011 to 0b00011011
PixStat5 Pixel 11,9 - 0b01000000 to 0b00000000
PixStat6 Pixel 11,9 - 0b00000000 to 0b00001000
PixStat6 Pixel 12,9 - 0b00000000 to 0b00000010
PixStat5 Pixel 7,10 - 0b00000000 to 0b00100000
PixStat1 Pixel 11,10 - 0b00000110 to 0b10000110
PixStat1 Pixel 12,10 - 0b11000010 to 0b11000110
PixStat2 Pixel 12,10 - 0b00100010 to 0b00000010
PixStat5 Pixel 12,10 - 0b00000000 to 0b00000100
PixStat1 Pixel 14,10 - 0b11010110 to 0b11000100
PixStat2 Pixel 2,11 - 0b10100100 to 0b00100100
PixStat3 Pixel 8,11 - 0b11000000 to 0b11000001
PixStat2 Pixel 9,11 - 0b10010001 to 0b10010000
PixStat6 Pixel 10,11 - 0b00000000 to 0b00000010
PixStat1 Pixel 11,11 - 0b11010110 to 0b11000110
PixStat1 Pixel 13,11 - 0b11000110 to 0b11100110
PixStat1 Pixel 3,12 - 0b10000110 to 0b10010110
PixStat2 Pixel 7,12 - 0b10011110 to 0b10011100
PixStat5 Pixel 8,12 - 0b00000000 to 0b00010000
PixStat1 Pixel 11,12 - 0b11010100 to 0b11000100
PixStat2 Pixel 13,12 - 0b10011000 to 0b10000000
PixStat1 Pixel 1,13 - 0b01001000 to 0b00001000
