Address Space - ETROC2:
PeriStat0 - 0b10100100 to 0b00100100
PeriStat3 - 0b11011111 to 0b11100000
SEU Counter 0 - 0b00011110 to 0b01010111
PixStat1 Pixel 0,0 - 0b11001010 to 0b11011010
PixStat1 Pixel 3,0 - 0b11000110 to 0b11000010
PixStat1 Pixel 4,0 - 0b11000110 to 0b10000110
PixStat3 Pixel 4,0 - 0b11000001 to 0b11000000
PixStat1 Pixel 5,0 - 0b11000110 to 0b10000110
PixStat1 Pixel 8,0 - 0b11001000 to 0b11000000
PixStat2 Pixel 9,0 - 0b10011111 to 0b10011110
PixStat1 Pixel 12,0 - 0b11000110 to 0b01000110
PixStat2 Pixel 13,0 - 0b10011111 to 0b10011011
PixStat6 Pixel 14,0 - 0b00000000 to 0b00000010
PixStat1 Pixel 9,1 - 0b11000100 to 0b11000101
PixStat2 Pixel 10,1 - 0b10010101 to 0b10011101
PixStat1 Pixel 14,1 - 0b11000110 to 0b11000010
PixStat2 Pixel 14,1 - 0b10100010 to 0b10101010
PixStat6 Pixel 1,2 - 0b00000000 to 0b00000100
PixStat2 Pixel 4,2 - 0b10011111 to 0b10010011
PixStat1 Pixel 6,2 - 0b11000110 to 0b01000110
PixStat3 Pixel 6,2 - 0b11000001 to 0b11000000
PixStat1 Pixel 7,2 - 0b11000110 to 0b10000110
PixStat5 Pixel 7,2 - 0b00000000 to 0b00000001
PixStat1 Pixel 9,2 - 0b11000100 to 0b00000110
PixStat3 Pixel 9,2 - 0b11000001 to 0b11000000
PixStat6 Pixel 9,2 - 0b00000000 to 0b00010000
PixStat1 Pixel 12,2 - 0b11000110 to 0b01000010
PixStat2 Pixel 1,3 - 0b10100100 to 0b00100100
PixStat1 Pixel 7,3 - 0b11000110 to 0b10000110
PixStat2 Pixel 8,3 - 0b10011101 to 0b10001101
PixStat1 Pixel 9,3 - 0b11000110 to 0b11000010
PixStat2 Pixel 11,3 - 0b10100011 to 0b00100011
PixStat2 Pixel 12,3 - 0b10001110 to 0b10000110
PixStat1 Pixel 1,4 - 0b11000100 to 0b10000100
PixStat1 Pixel 2,4 - 0b11000110 to 0b10000110
PixStat1 Pixel 7,4 - 0b11000110 to 0b10000111
PixStat1 Pixel 10,4 - 0b11000110 to 0b11000100
PixStat1 Pixel 11,4 - 0b11000110 to 0b11000100
PixStat1 Pixel 1,5 - 0b11001000 to 0b11101000
PixStat2 Pixel 3,5 - 0b10100011 to 0b10100010
PixStat6 Pixel 3,5 - 0b00000000 to 0b00000100
PixStat6 Pixel 6,5 - 0b00000000 to 0b00000100
PixStat2 Pixel 1,6 - 0b10100000 to 0b10000000
PixStat6 Pixel 3,6 - 0b00000000 to 0b00010000
PixStat3 Pixel 5,6 - 0b11000001 to 0b11000000
PixStat2 Pixel 9,6 - 0b10010100 to 0b11010100
PixStat1 Pixel 10,6 - 0b11001000 to 0b10001000
PixStat2 Pixel 10,6 - 0b10011001 to 0b10010001
PixStat1 Pixel 11,6 - 0b11000110 to 0b11000100
PixStat1 Pixel 14,6 - 0b11000110 to 0b10000110
PixStat6 Pixel 14,6 - 0b00000000 to 0b00000001
PixStat6 Pixel 6,7 - 0b00000000 to 0b00010000
PixStat2 Pixel 7,7 - 0b10010111 to 0b00010111
PixStat1 Pixel 8,7 - 0b11001000 to 0b01001000
PixStat2 Pixel 8,7 - 0b10011000 to 0b10010000
PixStat1 Pixel 10,7 - 0b11000110 to 0b01000110
PixStat3 Pixel 11,7 - 0b11000001 to 0b11000000
PixStat1 Pixel 12,7 - 0b11000110 to 0b11001110
PixStat1 Pixel 13,7 - 0b11000110 to 0b01000100
PixStat2 Pixel 13,7 - 0b10011001 to 0b00011001
PixStat1 Pixel 14,7 - 0b11000110 to 0b01000110
PixStat2 Pixel 3,8 - 0b10100001 to 0b10000001
PixStat6 Pixel 3,8 - 0b00000000 to 0b00100000
PixStat2 Pixel 8,8 - 0b10011011 to 0b10001011
PixStat1 Pixel 9,8 - 0b11000110 to 0b10000110
PixStat2 Pixel 10,8 - 0b10011011 to 0b10010011
PixStat3 Pixel 10,8 - 0b11000001 to 0b11000000
PixStat2 Pixel 11,8 - 0b10100110 to 0b10100010
PixStat1 Pixel 13,8 - 0b11000110 to 0b00000110
PixStat1 Pixel 2,9 - 0b11001000 to 0b11001001
PixStat1 Pixel 6,9 - 0b11000110 to 0b10000110
PixStat2 Pixel 6,9 - 0b10011100 to 0b10010100
PixStat1 Pixel 8,9 - 0b11000110 to 0b11001110
PixStat5 Pixel 8,9 - 0b00000000 to 0b00000100
PixStat6 Pixel 9,9 - 0b00000000 to 0b00001000
PixStat1 Pixel 6,10 - 0b11000110 to 0b01000111
PixStat6 Pixel 6,10 - 0b00000000 to 0b00100000
PixStat5 Pixel 8,10 - 0b00000000 to 0b10000000
PixStat6 Pixel 10,10 - 0b00000000 to 0b00010000
PixStat2 Pixel 14,10 - 0b10011110 to 0b10011100
PixStat3 Pixel 0,11 - 0b11000001 to 0b11000000
PixStat2 Pixel 2,11 - 0b10011111 to 0b00011111
PixStat2 Pixel 11,11 - 0b10010011 to 0b10000011
PixStat2 Pixel 1,12 - 0b10010011 to 0b10010010
PixStat2 Pixel 3,12 - 0b10011010 to 0b10011000
PixStat1 Pixel 6,12 - 0b11001000 to 0b01001000
PixStat2 Pixel 6,12 - 0b10010100 to 0b10010000
PixStat1 Pixel 8,12 - 0b11001000 to 0b01001000
PixStat2 Pixel 12,12 - 0b10010000 to 0b10110000
PixStat3 Pixel 2,13 - 0b11000001 to 0b11000011
PixStat1 Pixel 8,13 - 0b11001000 to 0b11101000
PixStat1 Pixel 11,14 - 0b11000110 to 0b11000010
PixStat5 Pixel 12,14 - 0b00000000 to 0b00100000
