Run,Start_Time,Duration,Loop,HV0,HV1,HV2,HV3,offset0,offset1,offset2,offset3
0,"Apr 30, 9:10 PM",1 hour,5 min,260,220,220,130,20,20,20,20
1,"May 1, 1:44 AM",7 hour,5 min,260,220,220,130,20,20,20,20
2,"May 2, 2:05 AM",8 hour,5 min,260,120,120,0,20,20,20,0
3,"May 2, 3:09 PM",2 hour,5 min,260,120,120,0,20,20,20,0
4,"May 2, 5:25 PM",2 hour,5 min,260,120,120,0,20,20,20,0
5,"May 2, 8:50 PM",2 hour,5 min,260,120,120,0,20,20,20,0
6,"May 2, 11:05 PM",2 hour,5 min,260,120,120,0,20,20,20,0
7,"May 3, 1:23 AM",8 hour,5 min,260,120,120,0,20,20,20,0
8,"May 3, 10:05 AM",2 hour,5 min,260,120,120,0,20,20,20,0
9,"May 3, 2:20 PM",3 hour,5 min,260,120,120,0,20,20,20,0
10,"May 3, 11:03 PM",2 hour,5 min,260,120,120,200,20,20,20,20
11,"May 4, 1:35 AM",8 hour,5 min,260,120,120,200,20,20,20,20
12,"May 4, 11:16 AM",1 hour,5 min,260,120,120,200,20,20,20,20
13,"May 4, 12:32 PM",2 hour,4 min,260,120,120,200,20,20,20,20
14,"May 4, 4:10 PM",2 hour,4 min,260,120,120,180,20,20,20,20
15,"May 4, 6:26 PM",2 hour,4 min,260,120,120,180,20,20,20,20
16,"May 4, 8:50 PM",2 hour,4 min,260,120,120,180,20,20,20,20
17,"May 5, 2:05 AM",8 hour,4 min,260,120,120,180,20,20,20,20
18,"May 5, 10:53 AM",2 hour,4 min,260,120,120,180,20,20,20,20
19,"May 5, 1:11 PM",2 hour,4 min,260,120,120,180,20,20,20,20
20,"May 5, 3:28 PM",2 hour,4 min,260,120,120,180,20,20,20,20
21,"May 5, 8:38 PM",2 hour,5 min,260,120,120,180,20,20,20,20
22,"May 6, 1:23 AM",8 hour,5 min,260,120,120,180,20,20,20,20
23,"May 6, 1:24 PM",1 hour,5 min,260,120,120,180,20,20,20,20
24,"May 6, 2:42 PM",1 hour,5 min,260,120,120,180,20,20,20,20
25,"May 6, 4:12 PM",1 hour,5 min,260,120,120,180,20,20,20,20
26,"May 6, 7:33 PM",1 hour,5 min,260,120,120,120,20,20,20,20
27,"May 6, 9:15 PM",2 hour,5 min,260,120,120,120,20,20,20,20
28,"May 7, 12:31 AM",1 hour,5 min,260,120,120,120,20,20,20,20
29,"May 7, 1:00 AM",0 hour,5 min,260,120,120,140,20,20,20,20
30,"May 7, 2:57 AM",5 hour,5 min,260,120,120,140,20,20,20,20
31,"May 7, 8:45 AM",2 hour,5 min,260,120,120,140,20,20,20,20
32,"May 7, 11:55 AM",1 hour,5 min,260,120,120,140,20,20,20,20
33,"May 7, 1:20 PM",2 hour,5 min,260,120,120,140,20,20,20,20
34,"May 7, 3:39 PM",2 hour,5 min,260,120,120,140,20,20,20,20
35,"May 7, 6:39 PM",2 hour,5 min,260,120,120,160,20,20,20,20
36,"May 7, 9:03 PM",2 hour,5 min,260,120,120,160,20,20,20,20
37,"May 7, 11:41 PM",2 hour,5 min,260,120,120,160,20,20,20,20
38,"May 8, 2:08 AM",8 hour,5 min,260,120,120,160,20,20,20,20
39,"May 8, 11:36 AM",3 hour,5 min,260,120,120,150,20,20,20,20
40,"May 8, 2:59 PM",2 hour,5 min,260,120,120,150,20,20,20,20
41,"May 8, 7:12 PM",2 hour,5 min,260,120,120,140,20,20,20,20
42,"May 8, 9:56 PM",2 hour,5 min,260,120,120,140,20,20,20,20
43,"May 9, 12:19 AM",2 hour,5 min,260,120,120,140,20,20,20,20
44,"May 9, 2:51 AM",8 hour,5 min,260,120,120,140,20,20,20,20
45,"May 9, 1:20 PM",1 hour,5 min,260,120,120,140,20,20,20,20
46,"May 9, 2:34 PM",2 hour,5 min,260,120,120,140,20,20,20,20
47,"May 9, 4:50 PM",2 hour,5 min,260,120,120,140,20,20,20,20
48,"May 9, 7:26 PM",2 hour,5 min,260,120,120,120,20,20,20,20
49,"May 9, 9:43 PM",2 hour,5 min,260,120,120,120,20,20,20,20
50,May 9 11:59 PM,2 hour,5 min,260,120,120,120,20,20,20,20
51,"May 10, 2:29 AM",6 hour,5 min,260,120,120,150,20,20,20,20
52,"May 10, 9:36 AM",2 hour,5 min,260,120,120,150,20,20,20,20
53,"May 10, 12:05 PM",2.5 hour,5 min,260,120,120,140,20,20,20,10
54,"May 10, 1:00 PM",0 hour,5 min,260,120,120,140,20,20,20,30
55,"May 10, 3:18 PM",2.5 hour,5 min,260,120,120,140,20,20,20,30
56,"May 10, 6:14 PM",0.26 hour,2 min,260,120,120,210,20,20,20,20
57,"May 10, 6:30 PM",0 hour,5 min,260,120,120,220,20,20,20,20
58,"May 10, 7:05 PM",0.26 hour,2 min,260,120,120,220,20,20,20,20
59,"May 10, 7:47 PM",1 hour,2 min,260,120,120,140,20,20,20,20
