Run,Start_Time,Duration,Loop Time,HV0,HV1,HV2,HV3,offset0,offset1,offset2,offset3
0,"June 5, 12:19 AM",1 hour,5 min,260,120,120,200,20,20,20,20
1,"June 5, 2:20 AM",2 hour,5 min,260,120,120,210,20,20,20,20
2,"June 5, 10:18 AM",2 hour,5 min,260,120,120,210,20,20,20,20
3,"June 5, 12:34 PM",2 hour,5 min,260,120,120,210,20,20,20,20
4,"June 5, 5:03 PM",2 hour,5 min,260,120,120,220,20,20,20,20
5,"June 5, 7:38 PM",1 hour,5 min,260,120,120,220,20,20,20,20
6,"June 5, 9:08 PM",2 hour,5 min,260,120,120,220,20,20,20,20
7,"June 5, 11:25 PM",1 hour,5 min,260,120,120,220,20,20,20,20
8,"June 6, 1:02 AM",3 hour,5 min,260,120,120,200,20,20,20,20
9,"June 6, 10:47 AM",2 hour,5 min,260,120,120,200,20,20,20,20
10,"June 6, 1:25 PM",2 hour,5 min,250,120,120,200,20,20,20,20
11,"June 6, 3:49 PM",2 hour,5 min,250,120,120,200,20,20,20,20
12,"June 6, 6:20 PM",2 hour,5 min,240,120,120,200,20,20,20,20
13,"June 6, 8:39 PM",2 hour,5 min,240,120,120,200,20,20,20,20
14,"June 6, 10:58 PM",2 hour,5 min,240,120,120,200,20,20,20,20
15,"June 7, 1:28 AM",3 hour,5 min,250,120,120,200,20,20,20,20
16,"June 7, 11:47 AM",2 hour,5 min,220,120,120,200,20,20,20,20
17,"June 7, 2:03 PM",2 hour,5 min,220,120,120,200,20,20,20,20
18,"June 7, 4:31 PM",2 hour,5 min,220,120,120,200,20,20,20,20
19,"June 7, 6:56 PM",2 hour,5 min,200,120,120,200,20,20,20,20
20,"June 7, 9:13 PM",2 hour,5 min,200,120,120,200,20,20,20,20
21,"June 7, 11:30 PM",2 hour,5 min,200,120,120,200,20,20,20,20
22,"June 8, 2:05 AM",3 hour,5 min,180,120,120,200,20,20,20,20
23,"June 8, 8:39 AM",3 hour,5 min,180,120,120,200,20,20,20,20
24,"June 8, 12:06 PM",2 hour,5 min,270,120,120,200,20,20,20,20
25,"June 8, 2:41 PM",2 hour,5 min,270,120,120,200,20,20,20,20
26,"June 8, 4:57 PM",2 hour,5 min,270,120,120,200,20,20,20,20
27,"June 8, 7:45 PM",2 hour,5 min,280,120,120,200,20,20,20,20
28,"June 8, 10:10 PM",2 hour,5 min,280,120,120,200,20,20,20,20
29,"June 9, 12:38 AM",3 hour,5 min,210,120,120,200,20,20,20,20
30,"June 9, 3:55 AM",3 hour,5 min,210,120,120,200,20,20,20,20
31,"June 9, 8:51 AM",3 hour,5 min,160,120,120,200,20,20,20,20
32,"June 9, 12:10 PM",3 hour,5 min,160,120,120,200,20,20,20,20
33,"June 9, 3:29 PM",3 hour,5 min,160,120,120,200,20,20,20,20
34,"June 9, 6:47 PM",3 hour,5 min,160,120,120,200,20,20,20,20
35,"June 9, 10:55 PM",3 hour,5 min,290,120,120,200,20,20,20,20
36,"June 10, 2:13 AM",1 hour,5 min,290,120,120,200,20,20,20,20
37,"June 10, 3:33 AM",3 hour,5 min,180,120,120,200,20,20,20,20
38,"June 10, 6:49 AM",3 hour,5 min,180,120,120,200,20,20,20,20
39,"June 10, 12:02 PM",3 hour,5 min,200,120,120,200,20,20,20,20
40,"June 10, 3:22 PM",3 hour,5 min,200,120,120,200,20,20,20,20
41,"June 10, 11:16 PM",1 hour,5 min,200,120,120,200,20,20,20,20
42,"June 11, 12:33 AM",6 hour,5 min,200,120,120,200,20,20,20,20
43,"June 11, 1:01 PM",3 hour,5 min,200,120,120,200,20,20,20,20
44,"June 11, 4:19 PM",2 hour,5 min,200,120,120,200,20,20,20,20
45,"June 11, 6:44 PM",6 hour,5 min,180,120,120,200,20,20,20,20
46,"June 12, 2:26 AM",6 hour,5 min,160,120,120,200,20,20,20,20
47,"June 12, 8:47 AM",6 hour,5 min,220,120,120,200,20,20,20,20
48,"June 12, 3:23 PM",6 hour,5 min,240,120,120,200,20,20,20,20
49,"June 12, 10:10 PM",6 hour,5 min,260,120,120,200,20,20,20,20
50,"June 13, 4:32 AM",6 hour,5 min,270,120,120,200,20,20,20,20
51,"June 13, 10:57 AM",6 hour,5 min,280,120,120,200,20,20,20,20
52,"June 13, 5:24 PM",6 hour,5 min,290,120,120,200,20,20,20,20
53,,,,,,,,,,,
54,,,,,,,,,,,
55,,,,,,,,,,,
56,,,,,,,,,,,
57,,,,,,,,,,,
58,,,,,,,,,,,
59,,,,,,,,,,,
